genes	NC	NNC	NNT	NT
Apoa2	6	6	7	11
Pan2	541	513	373	485
Cs	2542	1558	1317	2037
Ampd3	2259	3032	1934	1808
Bcas2	491	346	245	521
Sh2d1a	7	1	0	11
Ctcf	2109	1751	1327	1949
Pard6a	25	16	19	32
Agrp	0	0	1	1
Pvalb	0	0	0	0
Tfap4	183	41	30	116
Ranbp1	992	280	278	949
Cd247	62	49	26	62
Rfx5	451	269	186	361
Psmb4	728	477	372	698
Mmp8	25119	43109	23687	14239
Slc30a4	51	13	10	39
Sqrdl	1551	1831	1516	1483
Bloc1s6	525	492	450	416
Metap1	675	412	359	640
Gpr108	637	503	337	431
Tnfsf14	276	407	363	223
Gata6	0	0	0	1
Rsl1d1	700	221	209	544
Cnga2	0	0	0	0
Apc	1251	1178	747	1046
Reep5	1201	708	623	1115
Ergic3	568	379	278	418
Uqcc1	265	112	104	154
Spo11	1	0	0	3
Ncoa2	2412	2502	2033	1760
Prl4a1	0	0	0	0
Trh	0	0	0	0
Nr2c2	1912	1529	1032	1539
Nr2c1	81	34	42	74
Smpd4	643	200	203	621
Pex1	250	101	114	230
Otx1	0	0	0	0
Kctd20	3999	4022	3552	3666
Itgae	10	6	5	14
Ctns	259	256	177	223
P2rx5	5	2	2	12
Shpk	31	21	11	41
Trpv1	1	0	0	0
Ephb3	3	0	0	1
Tuft1	31	69	2	26
Rcn1	244	97	88	201
Dnase1	13	7	2	10
Trap1	611	147	163	519
Naa60	2238	1803	1287	1421
1700037C18Rik	116	119	64	93
Ankrd13d	142	223	301	160
Tyrp1	0	0	0	0
Tpr	4347	2979	1276	2887
Pdc	0	1	0	0
BC003331	307	198	125	207
Prg4	13	11	10	8
Dhx34	266	189	158	299
Kptn	138	92	93	133
Napa	1102	945	986	1279
Sra1	455	497	353	454
Calcoco2	0	0	0	0
Atp5g1	607	163	171	479
Snf8	464	351	247	360
Tbcb	383	278	219	364
Inpp5k	1333	1366	949	1116
Crkl	1057	945	787	1209
Upk3bl	0	0	0	0
